Ticker,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
AAPL,0.22121560362364415,-0.12987403610929824,-0.22834927727988455,-0.14023481096656942,0.017326582631197265,0.04048298266488225,0.06305784947851817,0.08689355524547619,-0.05247313103549868,-0.14861307029975077,0.0005167624262648158,-0.012968062210238496,-0.10169778703567406,0.031046926587860856,-0.1001668594544781,-0.054527419537810796,-0.28625975701542117,-0.10556895770071326,-0.1734317230407531,-0.24576149501712216,-0.06748461663797115,-0.09921330418351672,-0.12708690563348451,-0.33960806239456676,0.47370042344202345,-0.37389103605658974,0.05041487069388949,0.03790876827521471,-0.2486635909321733,-0.20038167843683738
AMGN,0.12618010368085003,0.21450534513545816,0.03359370239064723,-0.01902603397130357,-0.14155426777498054,0.5396851729455205,-0.014206450810892907,0.2703003236494903,0.1692672538232337,0.03362052819171408,0.4898641609054911,-0.23218801441913126,-0.3360023282262694,-0.12757616624916818,-0.19049833516779305,-0.03304331538652295,0.04235565664734289,-0.02803482273118456,0.12308631312487424,0.13049789877428955,0.05882237520099746,0.006687445345799862,-0.04683841331999324,-0.08764673393399719,-0.014490937048433463,0.08958542044251772,-0.002399412153532534,-0.05625300491727009,-0.020717152644936374,0.04270510017794984
AMZN,0.19937484300575778,-0.24457216211772564,-0.20892799964911152,-0.108051300881723,0.07764721092602621,0.09956576085883946,0.03283573510704728,0.03884038168539081,0.07509036031847886,0.1940505659326152,0.012301825212350606,-0.034606849071112965,-0.002014195181499244,0.22728381601768896,0.04428427343196693,0.012552949433874045,0.05819899496153386,-0.15427422691569553,-0.10284931189579878,0.07641953531081173,-0.08106664610230417,-0.003280889375866725,0.5930930693531078,-0.04437628980128365,-0.34513355168040943,0.07838468862345352,-0.1328315741556952,-0.001030095851277708,-0.3327260692258542,-0.26575379634754115
AXP,0.2292277903871844,-0.11946211190089935,0.16165116692763654,-0.012353923960759442,-0.12297110181971681,-0.11038521987744455,0.08537415829990862,-0.14798295007868648,0.005806765408044138,0.22034841377434783,0.11658241423460422,0.09071786697334215,-0.05473350064829551,-0.1637290087304796,-0.114726341636202,-0.10321606196739172,-0.0750454279314545,-0.09760566499716368,0.23561828187322312,-0.1626249634808123,-0.002937392083232753,0.060668804956574375,0.20104520637419201,0.1461008617035522,-0.08463433877720035,-0.2040513563237219,0.6957036870862761,-0.08538435635040534,0.13436665570059728,-0.07519515346352604
BA,0.1696898331844168,-0.13649853801397507,0.06897977264619362,0.05743206137534996,-0.02145690666011032,-0.3000744621653916,-0.060104665977737164,0.35253439486259336,0.323928309203593,-0.16626638944485397,0.3043689422056473,0.521990208731877,0.021396064838652206,0.20026948949402748,0.10423097859938873,-0.11795339633167991,-0.09982507050588468,-0.11659416572559606,0.22018090885229438,-0.036610440126448235,0.04657761715141727,-0.1295039074671025,-0.0954935068997783,-0.07534409615225683,-0.1283153406096988,0.002223251186135974,-0.15443889586328524,-0.011100379002660032,0.05592194426085372,0.1113568536087592
CAT,0.18490219656000015,-0.1032819445142969,0.3735981080165097,0.035617172257168615,0.1052705595528007,0.15115148280600307,-0.12457678993812354,0.13033120715430455,-0.050917038592582176,-0.17212917596193827,-0.17022142952271882,0.1031692719100941,-0.09222549088055491,-0.15749388380747473,-0.1366794923496838,-0.030354372871729676,0.11043187091824494,0.0006267090658283835,0.007548475779555969,-0.05731351454081751,0.1172779256957285,0.13290294680214265,0.17550943676179198,0.5168663766618455,0.13940823591841744,-0.35935045888495076,-0.30856080539027947,-0.037339172740125,-0.17353707814733244,0.054011296668593334
CRM,0.18531817691302738,-0.21222208108095833,-0.17856939692607607,-0.17249048403926653,-0.024156263943586817,0.11814098839579032,0.06729210645461331,-0.07944083894427152,0.05481102415292499,-0.05814661944607888,-0.10693900378523995,-0.0869165106408557,0.12180423891934905,0.1342439643183618,0.26321528279286743,0.09229262954823063,0.4951789228262161,-0.1876674849152611,0.46949832175773365,0.2157181048777938,0.01850401562558978,0.13292804675104536,-0.2731508968271472,0.02928014788429036,0.19218945576795443,-0.06779463108414799,0.0794094383628923,0.019478229957002036,-0.0920734377464783,0.0021280909013864924
CSCO,0.20577540352618393,0.014248073114917922,-0.060811732222586415,-0.07458311095703482,0.20731300714778242,0.1058736457766222,-0.1623592080445879,-0.19030040057439013,-0.19419764192782596,-0.13025314246658704,0.2617707544769283,-0.009404508935358338,0.15342187689503234,-0.12143314106463404,0.20648700912045256,0.56888613466378,-0.2075076342160684,0.2398604513732403,0.25572491332007324,-0.1833087966117869,0.08286983085876543,-0.2558887250795305,0.1121639182051429,0.021302924308008876,-0.04075496560761679,0.0008427598603707103,-0.0737656987202416,-0.09630779544679474,0.04541629261823371,0.013222313053379061
CVX,0.12305178661415092,-0.02191182474807987,0.3711394468057191,-0.3276267652727311,0.4460258611358803,0.01626008509925271,-0.1445946560654131,0.17300224846217357,0.06561381015299479,-0.15627841796686825,-0.2814293093186392,-0.1532623592754498,-0.11022042345457131,-0.06657330605858464,0.07955579252568788,-0.07670357094003981,0.11909143100161362,-0.1355906222022524,-0.06862886783878118,-0.1993717951959476,0.09747844437356873,-0.07709320767843574,-0.04922315069035735,-0.2825176055260346,-0.11942622556115357,0.27877994845259335,0.17469870928353884,-0.15645733729106265,0.08506181982388487,-0.010694890718898694
DIS,0.1948511717842157,-0.15711057573697398,0.013266445882507052,0.04541167731302114,0.17541688032232372,-0.1766142971414747,0.20051681050998155,0.04814277391418386,0.1289686148723286,0.16965109819639293,0.14314851685927352,-0.3122584600143385,0.02829405008677815,-0.032321406355526466,0.2341915777699588,-0.3780649308809649,0.044746878181396506,0.6277568905971463,0.013544132474710464,-0.011847158972749513,0.20059381319085617,0.01958575380719361,0.04107811586561731,-0.02224491809572398,0.10668883794683384,-0.04379906345857981,-0.07523786950986704,0.09291983725465035,0.007290199478419216,0.027019131703485647
GS,0.22457535261202646,-0.09925406319428724,0.27082334700484184,0.002542233481581137,-0.13068160409554622,0.027430374858987902,0.0630122932855241,-0.10687161740784151,0.07446587139760046,0.23027610403532062,0.08739375414862698,0.038302753074967756,0.21496552122437967,-0.08948476700125942,-0.07076640643735344,0.14210815604600466,0.15261724981692373,-0.1330823881441046,-0.2313118077635109,0.10379136608340751,0.10098140068038079,-0.06040043066960281,-0.07157767273821428,-0.14564617823592504,0.10405684082429367,-0.05775666153038239,-0.2750245422986986,0.057356230901394904,0.4928659068660357,-0.45229657675114937
HD,0.2182853703818668,-0.011753048793884443,-0.09081228502455056,0.3516743180568726,0.04342845097959158,0.12360633855091906,-0.06732046309027204,-0.010194290609478572,0.23145749846177957,0.04115322811136328,-0.230252736773438,-0.07390360281324787,-0.09934581095838046,-0.12361044931256177,0.1958900848540515,0.16175822475935006,-0.05550990480474711,-0.07134043273309244,-0.24185781680081492,0.09993210645495063,0.16532786547983225,-0.17546737212469274,-0.2683867778369861,-0.020177688522274213,-0.40735841984830684,-0.3071971315360711,0.14901108540357313,0.2893241544749627,-0.06387972244204693,0.13244486679332965
HON,0.2293702260665198,0.011313767729463173,0.08955862965894702,0.11610825155042223,-0.06423748474622863,-0.03666325457601506,-0.15258182393253328,0.10123109818083394,-0.026951510834492872,-0.19105048050857876,0.02721501402434295,0.0650610716586255,0.06496743400326783,0.18706081067626618,-0.10426497691517049,0.2808598519713192,-0.006945904981656879,0.28908274457567806,-0.13387252512038958,0.002884959356370947,-0.04422228385196635,0.718690521730591,-0.05839645496484532,-0.1788518456476778,-0.07569933346097074,0.09081929154850166,0.1601451207805052,0.09753492488001202,-0.05651674436976094,-0.0885683029694171
IBM,0.17720070054276604,0.09949877914069628,0.10497053248480559,0.07944900442571201,0.08839325164239903,0.33083253710268856,0.03322612596974852,-0.3118949473563845,-0.35940007068587454,-0.1843780006085258,-0.0016916566603121324,0.3999305383527512,-0.07905410593378467,-0.04007172046285645,0.2649040915170635,-0.4099615481495395,-0.07915576340296185,0.05953313076386314,0.005533870698671349,0.29001148101118995,-0.10982740774170095,0.01015772331377442,0.04604516007209258,-0.18848334967549502,-0.04408374951208433,0.04213759415279648,0.006179623101265486,0.07777243793216271,0.03431659614054834,-0.0420984412750802
JNJ,0.1336022405701112,0.35879818529669805,0.0075887350004136545,-0.08405160153411358,-0.10128609701557276,0.1568292696128506,0.05098090663318667,0.12831314679613212,0.02798174562428078,0.14431177472854753,0.0783484710390156,-0.04182574382176533,0.2506211926334568,0.17166462151795261,0.5234219156104553,-0.10554855886041092,-0.15526250667557454,-0.2020835062039446,-0.2358598890430236,-0.29698103026816497,-0.009065341641814353,0.15521726080643986,-0.09270608170112203,0.343513919089374,0.0737379464343826,0.07883559556505336,0.0443813672253889,-0.10021410123902962,-0.017769341784535868,-0.04431355965781899
JPM,0.21681564813546128,-0.037092628230829434,0.2990243610103488,-0.048079904867759045,-0.15945348183392788,-0.11151198317344187,0.0719216239337106,-0.1928932163714038,-0.0722294136971834,0.23819262166330246,0.1483168864951849,0.06741835848663508,0.2133629168448527,-0.10431536803974711,-0.0854184052879411,0.0911182048210823,0.10942754785797595,-0.09613505994100828,-0.2240707817384219,0.0566504711444458,0.05168560058354649,-0.09306020957597838,-0.03697522224584843,-0.17709467241218244,0.13365331113057147,0.18386420295774578,-0.008047581734305198,-0.016826171548706404,-0.4537510057535801,0.49248865422439136
KO,0.18521979956830303,0.3106837843935255,-0.1547375420449692,0.05858777061844376,0.0646906685862128,-0.17889551206028811,-0.041495922035293994,-0.0473948750030972,-0.08983633400622078,-0.14602342319753747,0.036105332724523376,-0.07590141339702515,-0.0067745617342633785,-0.029909611783876078,-0.12653538081965734,-0.07840544839860242,0.11235390939229911,-0.25280084489787163,0.11462161955688399,-0.16552860813737094,0.2793194241085972,0.014957576652014117,0.2587779074374213,0.020486361813234554,0.14262723934988314,0.1910785861296004,-0.022502553923333068,0.640842453721399,0.0937103204248965,0.05059957825684227
MCD,0.18291007261037245,0.20490726547791863,-0.10632703042467859,-0.015077150341083525,-0.15945389772169563,-0.2733808952195925,-0.10644654633219164,0.08499771910383777,-0.1270255435609885,-0.26583174336434406,0.16007058627911439,-0.04202931793930507,-0.14133284836001755,-0.07646684215815336,0.09524848354600236,0.008683648387146673,0.5297840452734166,0.13207383965478267,-0.2922582756186264,-0.02127476579895721,-0.38409658189525725,-0.24251946117249792,0.07146994886963699,0.06469849388500973,-0.05722572869507634,-0.12681034960548748,0.09405304818225829,-0.11753526469489002,0.04934113292980901,-0.03274977292188957
MMM,0.17694782605451057,0.02938471882508393,0.16619914596333138,0.37483863611713664,-0.08771798223192738,0.14947717504543795,-0.033724884685678226,0.08835730862296994,-0.07968331227060378,-0.16294022532040936,-0.13342053538560103,-0.3162704612065852,0.47258432800809813,0.30272100902244925,-0.26378820838171324,-0.1877391676941919,-0.05577167672116863,0.009474743731624555,0.21568283729674217,-0.08205965666053248,-0.23721066163161575,-0.25356436217435896,-0.0007599419219377495,-0.05506511105905233,-0.07983767748679008,0.0043699613159863294,0.01902473873326788,-0.05765947347017196,0.004797123027040162,0.005662247488684763
MRK,0.0975851607048455,0.3068628532054067,-0.04130859771615664,-0.31394284514654625,-0.12764074504525852,0.13255073066486106,0.14412347160505382,0.40208441977258375,-0.0637902284382051,0.30320793969237514,-0.379801050115781,0.3028584524133513,0.11954157538555064,-0.03404358064560039,-0.09384978156760466,0.12135857685622115,0.04196327589316085,0.32014337341902843,0.14362668165954703,0.037380335528244664,-0.06418163002914318,-0.14497721259588106,0.07204094067942815,-0.0932713299727663,-0.016748141491856737,-0.08516406705476633,0.038211921535309105,0.1733097993140914,0.033207990316050554,0.05780128748066505
MSFT,0.2131322455289201,-0.19219333639732067,-0.2808832444365103,-0.20452616659669465,-0.053583774539560564,0.11543600627347188,0.0022612054493557745,-0.040455746949046995,-0.09794620239073194,-0.038458762923626384,-0.05686042478111075,-0.07006601937491956,-0.01606270747346072,0.20701809368721721,-0.11257017194587175,-0.06127725378853907,-0.0652096700221263,-0.059114161043030654,-0.18903009145458483,-0.0007497297539182956,0.06631722458640196,0.12156889069072017,0.126192904256872,-0.005067687595038939,-0.04816177246600088,-0.11933902478887634,-0.0849126428501405,-0.16610903155030812,0.5030974098170827,0.5632383639163255
NKE,0.1955426556199824,-0.07013121807680489,-0.10184709511935582,0.15533123540139923,0.1830315855975453,-0.21616587485687133,0.08723959452636053,0.3942058120262994,-0.17632602724997268,0.013927763694268042,-0.04185878120801086,-0.13865256670229503,0.07505447793393495,-0.3424768202089738,0.07743717137690366,0.09097742537226701,-0.2742203928015606,-0.19239405258637157,-0.006903384586383165,0.49112673615676705,-0.1857485848657023,0.0583609595686024,0.053638170229207825,0.1178659577217141,0.17929495729147613,0.18251885112258773,0.06261787553043364,-0.07962735795402832,0.07381059091139118,0.018319846372168883
NVDA,0.17561511688802856,-0.311625488541433,-0.17319844433784812,-0.12906767424329318,-0.09090884259881772,0.12559113469780855,-0.044763905167144645,-0.004843007373561754,-0.0648461460666647,-0.09086017581716097,-0.02597028168966292,0.14628533404357305,-0.026858272017472474,0.06046447769134789,-0.2417077001149467,-0.0587729711243341,-0.03479694087838206,0.1864372712118071,-0.19371028126354045,-0.005756706286650822,0.11524808800725075,-0.23837875460190702,-0.29596196055747626,0.42728394629962174,0.00033147987123016947,0.4672526603629439,0.1575907731042732,0.10774719869413138,-0.04451388794550462,-0.16730274282197405
PG,0.15393325649598713,0.32976457285028465,-0.24359764563721653,0.054009518669395615,0.017389382965571337,-0.18246920298026917,0.03702349588634809,-0.028466654728217588,-0.16319527867120093,-0.023478484451161536,-0.05878547254817885,0.05033774334523931,0.0949499808492096,-0.026382733584045987,-0.20284293780980028,-0.11672729909460003,0.05677162660810423,-0.02672053062905443,0.02847780404908655,0.11333339863286622,0.5546545683680413,0.03599320494558437,-0.10929725341626012,-0.050937728759984376,-0.16917577802720948,-0.07408361577110405,-0.044322609056830206,-0.49468025296152884,-0.14083832160953869,-0.17372802027676343
SHW,0.19252088040750667,0.01876074132863166,-0.09668767827240583,0.41749232091571054,-0.21419840791372452,0.046261571588773115,-0.07677517826918095,-0.1029629633910488,0.25450028289929727,0.09450084027331088,-0.35025785162341855,0.11278732511950636,-0.31185241061865954,-0.03156115299188756,0.12859134187031496,0.08619266415006736,0.036362440162658355,0.07137786161815643,0.08831338688369894,-0.17754645592060603,0.00016427495592887025,-0.04034543976425116,0.19351360132832807,-0.09041135046222074,0.3306274018422339,0.3110545812255284,-0.06155315249271436,-0.276074062907863,0.0590484396392286,0.023513009530077057
TRV,0.15054732329349205,0.1358022748114173,0.28441739356164497,-0.14060348857001637,-0.1444652548924208,-0.2608825002910769,-0.1141625297139942,-0.08649928153709771,-0.18797425998749004,0.14093621979520984,-0.06782600968863436,-0.21171189362349985,-0.44073418972919076,0.5069571662904097,0.06270241196700728,0.10449067759586872,-0.2272814465765762,2.6204479107233435e-05,0.10339499421172242,0.2644604201548095,0.0330191540574945,-0.13374188660515737,-0.08458455234439478,0.09069422972411406,0.025454116644101257,-0.05037604154950439,-0.04939873372360175,0.05200239336982715,-0.010907451629571609,-0.05450573129439825
UNH,0.12827106202320354,0.21213233431428288,-0.013844141663051023,-0.3559637598883039,-0.16035516524090926,-0.07686306861377243,-0.12877789662230496,-0.31104884529268484,0.5625987166497346,-0.28719053646838394,-0.11983017802667664,-0.09289473579103089,0.17745627153556698,-0.17971026560176445,-0.0628345530014456,-0.09233192950243269,-0.24669154089391715,0.07655811483556123,0.014614156531937388,0.2634232867824476,-0.12336020430104741,0.016233815938934932,0.09366144732375825,0.06550582958998348,0.0045188661780807,-0.003992632704349774,-0.031917723702586887,-0.008738466685214155,-0.04269779194266809,-0.02491636191497096
V,0.22645020445211136,-0.04857099464914912,-0.05746894626218314,-0.09163329227173411,-0.16583674244752522,-0.13891299846569136,0.17003843161769946,-0.09044273795812492,-0.16047410699206158,0.08505616598143644,-0.08587668920453909,-0.11061189129126642,-0.1651218828225914,-0.3142390158334417,-0.04328773992165058,-0.09670938607086774,-0.10080715768745868,-0.0707135153484609,0.22602862052787717,-0.329174359148115,-0.29230886697092684,0.18629583741503586,-0.2829754702570197,-0.014574948443700936,-0.3583122585887546,0.09829803202392258,-0.38060748725674004,0.033111118836612205,-0.03761093536415959,-0.02162173906366608
VZ,0.11230482281063386,0.2043034486399157,0.04161495075516337,0.08080689393138299,0.4072394180201656,0.012009516818723856,0.6957441443151067,-0.16703906832167364,0.20182005108017978,-0.10434597501856165,0.032527672777641084,0.0965455348496839,-0.12023187557414323,0.20898670450321002,-0.19293792698384074,0.19925074386921715,0.04023639891985656,-0.00708345515506372,-0.057391349096410936,-0.007294802032081547,-0.17208671607281323,-0.006409995268446551,-0.05624458858732185,0.138271716599941,0.014290086533291784,0.02752724522533628,0.003953424016608219,-0.05083750860618363,0.026243836857173027,0.03429475279049889
